bacteria,drug,potency_when_no_r
p_stuartii,meropenem_vaborbactam,0.95
p_stuartii,colistin,0.05
p_stuartii,flucloxacillin,0.01
p_stuartii,aztreonam_avibactam,1
p_stuartii,cefixime,0.8
p_stuartii,nalidixic_acid,0.45
pseudomonas_aeruginosa,sulfanilamide,0.1
pseudomonas_aeruginosa,penicillin_g,0.05
pseudomonas_aeruginosa,ampicillin,0.05
pseudomonas_aeruginosa,amoxicillin,0.05
pseudomonas_aeruginosa,piperacillin,0.8
pseudomonas_aeruginosa,ticarcillin,0.7
pseudomonas_aeruginosa,cephalexin,0.05
pseudomonas_aeruginosa,cefazolin,0.05
pseudomonas_aeruginosa,cefuroxime,0.1
pseudomonas_aeruginosa,ceftriaxone,0.1
pseudomonas_aeruginosa,ceftazidime,0.85
pseudomonas_aeruginosa,cefepime,0.9
pseudomonas_aeruginosa,ceftaroline,0.1
pseudomonas_aeruginosa,ceftolozane_tazobactam,0.65
pseudomonas_aeruginosa,cefiderocol,0.55
pseudomonas_aeruginosa,meropenem,0.9
pseudomonas_aeruginosa,imipenem_c,0.85
pseudomonas_aeruginosa,ertapenem,0.1
pseudomonas_aeruginosa,aztreonam,0.8
pseudomonas_aeruginosa,erythromycin,0
pseudomonas_aeruginosa,azithromycin,0
pseudomonas_aeruginosa,clarithromycin,0
pseudomonas_aeruginosa,clindamycin,0
pseudomonas_aeruginosa,gentamicin,0.85
pseudomonas_aeruginosa,tobramycin,0.9
pseudomonas_aeruginosa,amikacin,0.9
pseudomonas_aeruginosa,ciprofloxacin,0.9
pseudomonas_aeruginosa,levofloxacin,0.8
pseudomonas_aeruginosa,moxifloxacin,0.5
pseudomonas_aeruginosa,ofloxacin,0.7
pseudomonas_aeruginosa,tetracycline,0.1
pseudomonas_aeruginosa,doxycycline,0.1
pseudomonas_aeruginosa,minocycline,0.1
pseudomonas_aeruginosa,tigecycline,0.1
pseudomonas_aeruginosa,vancomycin,0
pseudomonas_aeruginosa,teicoplanin,0
pseudomonas_aeruginosa,dalbavancin,0
pseudomonas_aeruginosa,linezolid,0
pseudomonas_aeruginosa,tedizolid,0
pseudomonas_aeruginosa,daptomycin,0.1
pseudomonas_aeruginosa,quinu_dalfo,0
pseudomonas_aeruginosa,trim_sulf,0.1
pseudomonas_aeruginosa,chloramphenicol,0.1
pseudomonas_aeruginosa,nitrofurantoin,0.05
pseudomonas_aeruginosa,fosfomycin,0.6
pseudomonas_aeruginosa,retapamulin,0
pseudomonas_aeruginosa,fusidic_a,0
pseudomonas_aeruginosa,metronidazole,0
pseudomonas_aeruginosa,fidaxomicin,0.1
pseudomonas_aeruginosa,furazolidone,0.05
pseudomonas_aeruginosa,rifampicin,0.1
pseudomonas_aeruginosa,amoxicillin_clavulanate,0.05
pseudomonas_aeruginosa,piperacillin_tazobactam,0.9
pseudomonas_aeruginosa,ampicillin_sulbactam,0.05
pseudomonas_aeruginosa,ticarcillin_clavulanate,0.8
pseudomonas_aeruginosa,ceftazidime_avibactam,0.95
pseudomonas_aeruginosa,meropenem_vaborbactam,0.9
pseudomonas_aeruginosa,colistin,0.85
pseudomonas_aeruginosa,flucloxacillin,0.01
pseudomonas_aeruginosa,aztreonam_avibactam,0.9
pseudomonas_aeruginosa,cefixime,0.1
pseudomonas_aeruginosa,nalidixic_acid,0
stenotrophomonas_maltophilia,sulfanilamide,0.6
stenotrophomonas_maltophilia,penicillin_g,0.02
stenotrophomonas_maltophilia,ampicillin,0.02
stenotrophomonas_maltophilia,amoxicillin,0.02
stenotrophomonas_maltophilia,piperacillin,0.02
stenotrophomonas_maltophilia,ticarcillin,0.02
stenotrophomonas_maltophilia,cephalexin,0.02
stenotrophomonas_maltophilia,cefazolin,0.02
stenotrophomonas_maltophilia,cefuroxime,0.02
stenotrophomonas_maltophilia,ceftriaxone,0.05
stenotrophomonas_maltophilia,ceftazidime,0.15
stenotrophomonas_maltophilia,cefepime,0.05
stenotrophomonas_maltophilia,ceftaroline,0.02
stenotrophomonas_maltophilia,ceftolozane_tazobactam,0.05
stenotrophomonas_maltophilia,cefiderocol,0.15
stenotrophomonas_maltophilia,meropenem,0.01
stenotrophomonas_maltophilia,imipenem_c,0.05
stenotrophomonas_maltophilia,ertapenem,0.01
stenotrophomonas_maltophilia,aztreonam,0.05
stenotrophomonas_maltophilia,erythromycin,0.02
stenotrophomonas_maltophilia,azithromycin,0.02
stenotrophomonas_maltophilia,clarithromycin,0.02
stenotrophomonas_maltophilia,clindamycin,0.01
stenotrophomonas_maltophilia,gentamicin,0.05
stenotrophomonas_maltophilia,tobramycin,0.05
stenotrophomonas_maltophilia,amikacin,0.05
stenotrophomonas_maltophilia,ciprofloxacin,0.55
stenotrophomonas_maltophilia,levofloxacin,0.6
stenotrophomonas_maltophilia,moxifloxacin,0.8
stenotrophomonas_maltophilia,ofloxacin,0.6
stenotrophomonas_maltophilia,tetracycline,0.35
stenotrophomonas_maltophilia,doxycycline,0.85
stenotrophomonas_maltophilia,minocycline,0.95
stenotrophomonas_maltophilia,tigecycline,0.1
stenotrophomonas_maltophilia,vancomycin,0
stenotrophomonas_maltophilia,teicoplanin,0.05
stenotrophomonas_maltophilia,dalbavancin,0.05
stenotrophomonas_maltophilia,linezolid,0.05
stenotrophomonas_maltophilia,tedizolid,0.05
stenotrophomonas_maltophilia,daptomycin,0.1
stenotrophomonas_maltophilia,quinu_dalfo,0.05
stenotrophomonas_maltophilia,trim_sulf,1
stenotrophomonas_maltophilia,chloramphenicol,0.4
stenotrophomonas_maltophilia,nitrofurantoin,0
stenotrophomonas_maltophilia,fosfomycin,0.2
stenotrophomonas_maltophilia,retapamulin,0.05
stenotrophomonas_maltophilia,fusidic_a,0.05
stenotrophomonas_maltophilia,metronidazole,0.05
stenotrophomonas_maltophilia,fidaxomicin,0.1
stenotrophomonas_maltophilia,furazolidone,0.05
stenotrophomonas_maltophilia,rifampicin,0.2
stenotrophomonas_maltophilia,amoxicillin_clavulanate,0.02
stenotrophomonas_maltophilia,piperacillin_tazobactam,0.05
stenotrophomonas_maltophilia,ampicillin_sulbactam,0.02
stenotrophomonas_maltophilia,ticarcillin_clavulanate,0.02
stenotrophomonas_maltophilia,ceftazidime_avibactam,0.05
stenotrophomonas_maltophilia,meropenem_vaborbactam,0.05
stenotrophomonas_maltophilia,colistin,0
stenotrophomonas_maltophilia,flucloxacillin,0.02
stenotrophomonas_maltophilia,aztreonam_avibactam,0.05
stenotrophomonas_maltophilia,cefixime,0.02
stenotrophomonas_maltophilia,nalidixic_acid,0
staphylococcus_aureus,sulfanilamide,0.1
staphylococcus_aureus,penicillin_g,0.95
staphylococcus_aureus,ampicillin,0.1
staphylococcus_aureus,amoxicillin,0.1
staphylococcus_aureus,piperacillin,0.7
staphylococcus_aureus,ticarcillin,0.6
staphylococcus_aureus,cephalexin,0.8
staphylococcus_aureus,cefazolin,0.85
staphylococcus_aureus,cefuroxime,0.7
staphylococcus_aureus,ceftriaxone,0.7
staphylococcus_aureus,ceftazidime,0.1
staphylococcus_aureus,cefepime,0.6
staphylococcus_aureus,ceftaroline,0.95
staphylococcus_aureus,ceftolozane_tazobactam,0.75
staphylococcus_aureus,cefiderocol,0.75
staphylococcus_aureus,meropenem,0.7
staphylococcus_aureus,imipenem_c,0.7
staphylococcus_aureus,ertapenem,0.7
staphylococcus_aureus,aztreonam,0
staphylococcus_aureus,erythromycin,0.8
staphylococcus_aureus,azithromycin,0.8
staphylococcus_aureus,clarithromycin,0.8
staphylococcus_aureus,clindamycin,0.8
staphylococcus_aureus,gentamicin,0.7
staphylococcus_aureus,tobramycin,0.7
staphylococcus_aureus,amikacin,0.7
staphylococcus_aureus,ciprofloxacin,0.5
staphylococcus_aureus,levofloxacin,0.5
staphylococcus_aureus,moxifloxacin,0.5
staphylococcus_aureus,ofloxacin,0.5
staphylococcus_aureus,tetracycline,0.5
staphylococcus_aureus,doxycycline,0.5
staphylococcus_aureus,minocycline,0.5
staphylococcus_aureus,tigecycline,0.65
staphylococcus_aureus,vancomycin,0.95
staphylococcus_aureus,teicoplanin,0.9
staphylococcus_aureus,dalbavancin,0.9
staphylococcus_aureus,linezolid,0.9
staphylococcus_aureus,tedizolid,0.9
staphylococcus_aureus,daptomycin,0.95
staphylococcus_aureus,quinu_dalfo,0.85
staphylococcus_aureus,trim_sulf,0.7
staphylococcus_aureus,chloramphenicol,0.8
staphylococcus_aureus,nitrofurantoin,0.1
staphylococcus_aureus,fosfomycin,0.65
staphylococcus_aureus,retapamulin,0.9
staphylococcus_aureus,fusidic_a,0.85
staphylococcus_aureus,metronidazole,0.1
staphylococcus_aureus,fidaxomicin,0.1
staphylococcus_aureus,furazolidone,0.1
staphylococcus_aureus,rifampicin,0.4
staphylococcus_aureus,amoxicillin_clavulanate,0.85
staphylococcus_aureus,piperacillin_tazobactam,0.7
staphylococcus_aureus,ampicillin_sulbactam,0.8
staphylococcus_aureus,ticarcillin_clavulanate,0.6
staphylococcus_aureus,ceftazidime_avibactam,0.1
staphylococcus_aureus,meropenem_vaborbactam,0.7
staphylococcus_aureus,colistin,0
staphylococcus_aureus,flucloxacillin,0.95
staphylococcus_aureus,aztreonam_avibactam,0.01
staphylococcus_aureus,cefixime,0.75
staphylococcus_aureus,nalidixic_acid,0
staphylococcus_epidermidis,sulfanilamide,0.1
staphylococcus_epidermidis,penicillin_g,0.05
staphylococcus_epidermidis,ampicillin,0.05
staphylococcus_epidermidis,amoxicillin,0.05
staphylococcus_epidermidis,piperacillin,0.2
staphylococcus_epidermidis,ticarcillin,0.2
staphylococcus_epidermidis,cephalexin,0.2
staphylococcus_epidermidis,cefazolin,0.15
staphylococcus_epidermidis,cefuroxime,0.2
staphylococcus_epidermidis,ceftriaxone,0.1
staphylococcus_epidermidis,ceftazidime,0.1
staphylococcus_epidermidis,cefepime,0.15
staphylococcus_epidermidis,ceftaroline,0.5
staphylococcus_epidermidis,ceftolozane_tazobactam,0.75
staphylococcus_epidermidis,cefiderocol,0.75
staphylococcus_epidermidis,meropenem,0.25
staphylococcus_epidermidis,imipenem_c,0.3
staphylococcus_epidermidis,ertapenem,0.4
staphylococcus_epidermidis,aztreonam,0.05
staphylococcus_epidermidis,erythromycin,0.45
staphylococcus_epidermidis,azithromycin,0.5
staphylococcus_epidermidis,clarithromycin,0.5
staphylococcus_epidermidis,clindamycin,0.6
staphylococcus_epidermidis,gentamicin,0.2
staphylococcus_epidermidis,tobramycin,0.65
staphylococcus_epidermidis,amikacin,0.7
staphylococcus_epidermidis,ciprofloxacin,0.5
staphylococcus_epidermidis,levofloxacin,0.55
staphylococcus_epidermidis,moxifloxacin,0.6
staphylococcus_epidermidis,ofloxacin,0.5
staphylococcus_epidermidis,tetracycline,0.5
staphylococcus_epidermidis,doxycycline,0.75
staphylococcus_epidermidis,minocycline,0.8
staphylococcus_epidermidis,tigecycline,0.1
staphylococcus_epidermidis,vancomycin,1
staphylococcus_epidermidis,teicoplanin,0.95
staphylococcus_epidermidis,dalbavancin,0.95
staphylococcus_epidermidis,linezolid,0.95
staphylococcus_epidermidis,tedizolid,0.95
staphylococcus_epidermidis,daptomycin,0.9
staphylococcus_epidermidis,quinu_dalfo,0.9
staphylococcus_epidermidis,trim_sulf,0.75
staphylococcus_epidermidis,chloramphenicol,0.6
staphylococcus_epidermidis,nitrofurantoin,0.2
staphylococcus_epidermidis,fosfomycin,0.55
staphylococcus_epidermidis,retapamulin,0.8
staphylococcus_epidermidis,fusidic_a,0.85
staphylococcus_epidermidis,metronidazole,0.05
staphylococcus_epidermidis,fidaxomicin,0.1
staphylococcus_epidermidis,furazolidone,0.05
staphylococcus_epidermidis,rifampicin,0.9
staphylococcus_epidermidis,amoxicillin_clavulanate,0.2
staphylococcus_epidermidis,piperacillin_tazobactam,0.4
staphylococcus_epidermidis,ampicillin_sulbactam,0.2
staphylococcus_epidermidis,ticarcillin_clavulanate,0.25
staphylococcus_epidermidis,ceftazidime_avibactam,0.1
staphylococcus_epidermidis,meropenem_vaborbactam,0.4
staphylococcus_epidermidis,colistin,0
staphylococcus_epidermidis,flucloxacillin,0.85
staphylococcus_epidermidis,aztreonam_avibactam,0.01
staphylococcus_epidermidis,cefixime,0.75
staphylococcus_epidermidis,nalidixic_acid,0
streptococcus_pneumoniae,sulfanilamide,0.7
streptococcus_pneumoniae,penicillin_g,0.95
streptococcus_pneumoniae,ampicillin,0.95
streptococcus_pneumoniae,amoxicillin,0.95
streptococcus_pneumoniae,piperacillin,0.9
streptococcus_pneumoniae,ticarcillin,0.9
streptococcus_pneumoniae,cephalexin,0.85
streptococcus_pneumoniae,cefazolin,0.9
streptococcus_pneumoniae,cefuroxime,0.9
streptococcus_pneumoniae,ceftriaxone,0.95
streptococcus_pneumoniae,ceftazidime,0.25
streptococcus_pneumoniae,cefepime,0.8
streptococcus_pneumoniae,ceftaroline,0.95
streptococcus_pneumoniae,ceftolozane_tazobactam,0.75
streptococcus_pneumoniae,cefiderocol,0.75
streptococcus_pneumoniae,meropenem,0.95
streptococcus_pneumoniae,imipenem_c,0.95
streptococcus_pneumoniae,ertapenem,0.95
streptococcus_pneumoniae,aztreonam,0
streptococcus_pneumoniae,erythromycin,0.8
streptococcus_pneumoniae,azithromycin,0.85
streptococcus_pneumoniae,clarithromycin,0.85
streptococcus_pneumoniae,clindamycin,0.8
streptococcus_pneumoniae,gentamicin,0.1
streptococcus_pneumoniae,tobramycin,0.1
streptococcus_pneumoniae,amikacin,0.1
streptococcus_pneumoniae,ciprofloxacin,0.9
streptococcus_pneumoniae,levofloxacin,0.95
streptococcus_pneumoniae,moxifloxacin,0.95
streptococcus_pneumoniae,ofloxacin,0.9
streptococcus_pneumoniae,tetracycline,0.8
streptococcus_pneumoniae,doxycycline,0.85
streptococcus_pneumoniae,minocycline,0.85
streptococcus_pneumoniae,tigecycline,0.55
streptococcus_pneumoniae,vancomycin,0.95
streptococcus_pneumoniae,teicoplanin,0.9
streptococcus_pneumoniae,dalbavancin,0.9
streptococcus_pneumoniae,linezolid,0.9
streptococcus_pneumoniae,tedizolid,0.9
streptococcus_pneumoniae,daptomycin,0.3
streptococcus_pneumoniae,quinu_dalfo,0.85
streptococcus_pneumoniae,trim_sulf,0.7
streptococcus_pneumoniae,chloramphenicol,0.8
streptococcus_pneumoniae,nitrofurantoin,0.1
streptococcus_pneumoniae,fosfomycin,0.3
streptococcus_pneumoniae,retapamulin,0.1
streptococcus_pneumoniae,fusidic_a,0.1
streptococcus_pneumoniae,metronidazole,0.1
streptococcus_pneumoniae,fidaxomicin,0.1
streptococcus_pneumoniae,furazolidone,0.1
streptococcus_pneumoniae,rifampicin,0.8
streptococcus_pneumoniae,amoxicillin_clavulanate,0.95
streptococcus_pneumoniae,piperacillin_tazobactam,0.9
streptococcus_pneumoniae,ampicillin_sulbactam,0.95
streptococcus_pneumoniae,ticarcillin_clavulanate,0.9
streptococcus_pneumoniae,ceftazidime_avibactam,0.95
streptococcus_pneumoniae,meropenem_vaborbactam,0.95
streptococcus_pneumoniae,colistin,0
streptococcus_pneumoniae,flucloxacillin,0.8
streptococcus_pneumoniae,aztreonam_avibactam,0.01
streptococcus_pneumoniae,cefixime,0.75
streptococcus_pneumoniae,nalidixic_acid,0
salmonella_enterica_serovar_typhi,sulfanilamide,0.7
salmonella_enterica_serovar_typhi,penicillin_g,0.1
salmonella_enterica_serovar_typhi,ampicillin,0.8
salmonella_enterica_serovar_typhi,amoxicillin,0.8
salmonella_enterica_serovar_typhi,piperacillin,0.85
salmonella_enterica_serovar_typhi,ticarcillin,0.8
salmonella_enterica_serovar_typhi,cephalexin,0.7
salmonella_enterica_serovar_typhi,cefazolin,0.75
salmonella_enterica_serovar_typhi,cefuroxime,0.8
salmonella_enterica_serovar_typhi,ceftriaxone,0.95
salmonella_enterica_serovar_typhi,ceftazidime,0.9
salmonella_enterica_serovar_typhi,cefepime,0.9
salmonella_enterica_serovar_typhi,ceftaroline,0.1
salmonella_enterica_serovar_typhi,ceftolozane_tazobactam,0.75
salmonella_enterica_serovar_typhi,cefiderocol,0.75
salmonella_enterica_serovar_typhi,meropenem,0.95
salmonella_enterica_serovar_typhi,imipenem_c,0.95
salmonella_enterica_serovar_typhi,ertapenem,0.95
salmonella_enterica_serovar_typhi,aztreonam,0.9
salmonella_enterica_serovar_typhi,erythromycin,0.1
salmonella_enterica_serovar_typhi,azithromycin,0.1
salmonella_enterica_serovar_typhi,clarithromycin,0.1
salmonella_enterica_serovar_typhi,clindamycin,0
salmonella_enterica_serovar_typhi,gentamicin,0.85
salmonella_enterica_serovar_typhi,tobramycin,0.8
salmonella_enterica_serovar_typhi,amikacin,0.9
salmonella_enterica_serovar_typhi,ciprofloxacin,0.8
salmonella_enterica_serovar_typhi,levofloxacin,0.8
salmonella_enterica_serovar_typhi,moxifloxacin,0.7
salmonella_enterica_serovar_typhi,ofloxacin,0.8
salmonella_enterica_serovar_typhi,tetracycline,0.8
salmonella_enterica_serovar_typhi,doxycycline,0.85
salmonella_enterica_serovar_typhi,minocycline,0.85
salmonella_enterica_serovar_typhi,tigecycline,0.7
salmonella_enterica_serovar_typhi,vancomycin,0
salmonella_enterica_serovar_typhi,teicoplanin,0
salmonella_enterica_serovar_typhi,dalbavancin,0
salmonella_enterica_serovar_typhi,linezolid,0
salmonella_enterica_serovar_typhi,tedizolid,0
salmonella_enterica_serovar_typhi,daptomycin,0.1
salmonella_enterica_serovar_typhi,quinu_dalfo,0
salmonella_enterica_serovar_typhi,trim_sulf,0.9
salmonella_enterica_serovar_typhi,chloramphenicol,0.85
salmonella_enterica_serovar_typhi,nitrofurantoin,0.1
salmonella_enterica_serovar_typhi,fosfomycin,0.1
salmonella_enterica_serovar_typhi,retapamulin,0
salmonella_enterica_serovar_typhi,fusidic_a,0
salmonella_enterica_serovar_typhi,metronidazole,0
salmonella_enterica_serovar_typhi,fidaxomicin,0.1
salmonella_enterica_serovar_typhi,furazolidone,0.1
salmonella_enterica_serovar_typhi,rifampicin,0.7
salmonella_enterica_serovar_typhi,amoxicillin_clavulanate,0.9
salmonella_enterica_serovar_typhi,piperacillin_tazobactam,0.95
salmonella_enterica_serovar_typhi,ampicillin_sulbactam,0.9
salmonella_enterica_serovar_typhi,ticarcillin_clavulanate,0.9
salmonella_enterica_serovar_typhi,ceftazidime_avibactam,0.95
salmonella_enterica_serovar_typhi,meropenem_vaborbactam,0.95
salmonella_enterica_serovar_typhi,colistin,0.7
salmonella_enterica_serovar_typhi,flucloxacillin,0.01
salmonella_enterica_serovar_typhi,aztreonam_avibactam,0.9
salmonella_enterica_serovar_typhi,cefixime,0.75
salmonella_enterica_serovar_typhi,nalidixic_acid,0.65
salmonella_enterica_serovar_paratyphi_a,sulfanilamide,0.7
salmonella_enterica_serovar_paratyphi_a,penicillin_g,0.1
salmonella_enterica_serovar_paratyphi_a,ampicillin,0.8
salmonella_enterica_serovar_paratyphi_a,amoxicillin,0.8
salmonella_enterica_serovar_paratyphi_a,piperacillin,0.85
salmonella_enterica_serovar_paratyphi_a,ticarcillin,0.8
salmonella_enterica_serovar_paratyphi_a,cephalexin,0.7
salmonella_enterica_serovar_paratyphi_a,cefazolin,0.75
salmonella_enterica_serovar_paratyphi_a,cefuroxime,0.8
salmonella_enterica_serovar_paratyphi_a,ceftriaxone,0.95
salmonella_enterica_serovar_paratyphi_a,ceftazidime,0.9
salmonella_enterica_serovar_paratyphi_a,cefepime,0.9
salmonella_enterica_serovar_paratyphi_a,ceftaroline,0.1
salmonella_enterica_serovar_paratyphi_a,ceftolozane_tazobactam,0.75
salmonella_enterica_serovar_paratyphi_a,cefiderocol,0.75
salmonella_enterica_serovar_paratyphi_a,meropenem,0.95
salmonella_enterica_serovar_paratyphi_a,imipenem_c,0.95
salmonella_enterica_serovar_paratyphi_a,ertapenem,0.95
salmonella_enterica_serovar_paratyphi_a,aztreonam,0.9
salmonella_enterica_serovar_paratyphi_a,erythromycin,0.1
salmonella_enterica_serovar_paratyphi_a,azithromycin,0.1
salmonella_enterica_serovar_paratyphi_a,clarithromycin,0.1
salmonella_enterica_serovar_paratyphi_a,clindamycin,0
salmonella_enterica_serovar_paratyphi_a,gentamicin,0.85
salmonella_enterica_serovar_paratyphi_a,tobramycin,0.8
salmonella_enterica_serovar_paratyphi_a,amikacin,0.9
salmonella_enterica_serovar_paratyphi_a,ciprofloxacin,0.9
salmonella_enterica_serovar_paratyphi_a,levofloxacin,0.85
salmonella_enterica_serovar_paratyphi_a,moxifloxacin,0.7
salmonella_enterica_serovar_paratyphi_a,ofloxacin,0.8
salmonella_enterica_serovar_paratyphi_a,tetracycline,0.8
salmonella_enterica_serovar_paratyphi_a,doxycycline,0.85
salmonella_enterica_serovar_paratyphi_a,minocycline,0.85
salmonella_enterica_serovar_paratyphi_a,tigecycline,0.7
salmonella_enterica_serovar_paratyphi_a,vancomycin,0
salmonella_enterica_serovar_paratyphi_a,teicoplanin,0
salmonella_enterica_serovar_paratyphi_a,dalbavancin,0
salmonella_enterica_serovar_paratyphi_a,linezolid,0
salmonella_enterica_serovar_paratyphi_a,tedizolid,0
salmonella_enterica_serovar_paratyphi_a,daptomycin,0.1
salmonella_enterica_serovar_paratyphi_a,quinu_dalfo,0
salmonella_enterica_serovar_paratyphi_a,trim_sulf,0.9
salmonella_enterica_serovar_paratyphi_a,chloramphenicol,0.85
salmonella_enterica_serovar_paratyphi_a,nitrofurantoin,0.1
salmonella_enterica_serovar_paratyphi_a,fosfomycin,0.1
salmonella_enterica_serovar_paratyphi_a,retapamulin,0
salmonella_enterica_serovar_paratyphi_a,fusidic_a,0
salmonella_enterica_serovar_paratyphi_a,metronidazole,0
salmonella_enterica_serovar_paratyphi_a,fidaxomicin,0.1
salmonella_enterica_serovar_paratyphi_a,furazolidone,0.1
salmonella_enterica_serovar_paratyphi_a,rifampicin,0.7
salmonella_enterica_serovar_paratyphi_a,amoxicillin_clavulanate,0.9
salmonella_enterica_serovar_paratyphi_a,piperacillin_tazobactam,0.95
salmonella_enterica_serovar_paratyphi_a,ampicillin_sulbactam,0.9
salmonella_enterica_serovar_paratyphi_a,ticarcillin_clavulanate,0.9
salmonella_enterica_serovar_paratyphi_a,ceftazidime_avibactam,0.95
salmonella_enterica_serovar_paratyphi_a,meropenem_vaborbactam,0.95
salmonella_enterica_serovar_paratyphi_a,colistin,0.7
salmonella_enterica_serovar_paratyphi_a,flucloxacillin,0.01
salmonella_enterica_serovar_paratyphi_a,aztreonam_avibactam,0.9
salmonella_enterica_serovar_paratyphi_a,cefixime,0.75
salmonella_enterica_serovar_paratyphi_a,nalidixic_acid,0.65
invasive_non-typhoidal_salmonella_spp.,sulfanilamide,0.7
invasive_non-typhoidal_salmonella_spp.,penicillin_g,0.1
invasive_non-typhoidal_salmonella_spp.,ampicillin,0.8
invasive_non-typhoidal_salmonella_spp.,amoxicillin,0.8
invasive_non-typhoidal_salmonella_spp.,piperacillin,0.85
invasive_non-typhoidal_salmonella_spp.,ticarcillin,0.8
invasive_non-typhoidal_salmonella_spp.,cephalexin,0.7
invasive_non-typhoidal_salmonella_spp.,cefazolin,0.75
invasive_non-typhoidal_salmonella_spp.,cefuroxime,0.8
invasive_non-typhoidal_salmonella_spp.,ceftriaxone,0.95
invasive_non-typhoidal_salmonella_spp.,ceftazidime,0.9
invasive_non-typhoidal_salmonella_spp.,cefepime,0.9
invasive_non-typhoidal_salmonella_spp.,ceftaroline,0.1
invasive_non-typhoidal_salmonella_spp.,ceftolozane_tazobactam,0.75
invasive_non-typhoidal_salmonella_spp.,cefiderocol,0.75
invasive_non-typhoidal_salmonella_spp.,meropenem,0.95
invasive_non-typhoidal_salmonella_spp.,imipenem_c,0.95
invasive_non-typhoidal_salmonella_spp.,ertapenem,0.95
invasive_non-typhoidal_salmonella_spp.,aztreonam,0.9
invasive_non-typhoidal_salmonella_spp.,erythromycin,0.1
invasive_non-typhoidal_salmonella_spp.,azithromycin,0.1
invasive_non-typhoidal_salmonella_spp.,clarithromycin,0.1
invasive_non-typhoidal_salmonella_spp.,clindamycin,0.1
invasive_non-typhoidal_salmonella_spp.,gentamicin,0.85
invasive_non-typhoidal_salmonella_spp.,tobramycin,0.8
invasive_non-typhoidal_salmonella_spp.,amikacin,0.9
invasive_non-typhoidal_salmonella_spp.,ciprofloxacin,0.75
invasive_non-typhoidal_salmonella_spp.,levofloxacin,0.85
invasive_non-typhoidal_salmonella_spp.,moxifloxacin,0.7
invasive_non-typhoidal_salmonella_spp.,ofloxacin,0.8
invasive_non-typhoidal_salmonella_spp.,tetracycline,0.8
invasive_non-typhoidal_salmonella_spp.,doxycycline,0.85
invasive_non-typhoidal_salmonella_spp.,minocycline,0.85
invasive_non-typhoidal_salmonella_spp.,tigecycline,0.7
invasive_non-typhoidal_salmonella_spp.,vancomycin,0.1
invasive_non-typhoidal_salmonella_spp.,teicoplanin,0.1
invasive_non-typhoidal_salmonella_spp.,dalbavancin,0.1
invasive_non-typhoidal_salmonella_spp.,linezolid,0.1
invasive_non-typhoidal_salmonella_spp.,tedizolid,0.1
invasive_non-typhoidal_salmonella_spp.,daptomycin,0.1
invasive_non-typhoidal_salmonella_spp.,quinu_dalfo,0.1
invasive_non-typhoidal_salmonella_spp.,trim_sulf,0.9
invasive_non-typhoidal_salmonella_spp.,chloramphenicol,0.85
invasive_non-typhoidal_salmonella_spp.,nitrofurantoin,0.1
invasive_non-typhoidal_salmonella_spp.,fosfomycin,0.1
invasive_non-typhoidal_salmonella_spp.,retapamulin,0.05
invasive_non-typhoidal_salmonella_spp.,fusidic_a,0.05
invasive_non-typhoidal_salmonella_spp.,metronidazole,0
invasive_non-typhoidal_salmonella_spp.,fidaxomicin,0.1
invasive_non-typhoidal_salmonella_spp.,furazolidone,0.1
invasive_non-typhoidal_salmonella_spp.,rifampicin,0.7
invasive_non-typhoidal_salmonella_spp.,amoxicillin_clavulanate,0.9
invasive_non-typhoidal_salmonella_spp.,piperacillin_tazobactam,0.95
invasive_non-typhoidal_salmonella_spp.,ampicillin_sulbactam,0.9
invasive_non-typhoidal_salmonella_spp.,ticarcillin_clavulanate,0.9
invasive_non-typhoidal_salmonella_spp.,ceftazidime_avibactam,0.95
invasive_non-typhoidal_salmonella_spp.,meropenem_vaborbactam,0.95
invasive_non-typhoidal_salmonella_spp.,colistin,0.7
invasive_non-typhoidal_salmonella_spp.,flucloxacillin,0.01
invasive_non-typhoidal_salmonella_spp.,aztreonam_avibactam,0.9
invasive_non-typhoidal_salmonella_spp.,cefixime,0.75
invasive_non-typhoidal_salmonella_spp.,nalidixic_acid,0.6
shigella_spp.,sulfanilamide,0.5
shigella_spp.,penicillin_g,0.1
shigella_spp.,ampicillin,0.7
shigella_spp.,amoxicillin,0.7
shigella_spp.,piperacillin,0.75
shigella_spp.,ticarcillin,0.7
shigella_spp.,cephalexin,0.6
shigella_spp.,cefazolin,0.65
shigella_spp.,cefuroxime,0.7
shigella_spp.,ceftriaxone,0.9
shigella_spp.,ceftazidime,0.85
shigella_spp.,cefepime,0.85
shigella_spp.,ceftaroline,0.1
shigella_spp.,ceftolozane_tazobactam,0.75
shigella_spp.,cefiderocol,0.75
shigella_spp.,meropenem,0.9
shigella_spp.,imipenem_c,0.9
shigella_spp.,ertapenem,0.9
shigella_spp.,aztreonam,0.8
shigella_spp.,erythromycin,0.7
shigella_spp.,azithromycin,0.85
shigella_spp.,clarithromycin,0.75
shigella_spp.,clindamycin,0
shigella_spp.,gentamicin,0.8
shigella_spp.,tobramycin,0.75
shigella_spp.,amikacin,0.85
shigella_spp.,ciprofloxacin,0.75
shigella_spp.,levofloxacin,0.75
shigella_spp.,moxifloxacin,0.8
shigella_spp.,ofloxacin,0.9
shigella_spp.,tetracycline,0.8
shigella_spp.,doxycycline,0.85
