parameter,source_line,region,initial_age_lower_days_inclusive,initial_age_upper_days_exclusive,configured_weight,age_pass_before,age_pass_multiplier,age_pass_fitted,choice_group,year_of_birth_lower_exclusive,year_of_birth_upper_inclusive,age_at_start_2025_lower_years,age_at_start_2025_upper_years,assessment,share_of_all_allocated_records_percent,share_within_region_allocated_records_percent
demo_oceania_age_neg20000_neg16000,12332,oceania,-20000,-16000,0.00066591048,0.00066,1.008955272727272727272727273,True,Fitted conditional-under80 cohort,1973.835616438356,1984.7945205479452,40.205479452054796,51.16438356164384,Matches applied regularized fit; not independently identified; validate with current survival,0.048363024184762876,7.965436363636363
demo_oceania_age_neg16000_neg12000,12333,oceania,-16000,-12000,0.000488928877,0.00044,1.111201993181818181818181818,True,Fitted conditional-under80 cohort,1962.876712328767,1973.835616438356,51.16438356164384,62.12328767123287,Matches applied regularized fit; not independently identified; validate with current survival,0.035509396252451156,5.848431543062201
demo_oceania_age_neg12000_neg8000,12334,oceania,-12000,-8000,0.000496874751,0.00044,1.129260797727272727272727273,True,Fitted conditional-under80 cohort,1951.9178082191781,1962.876712328767,62.12328767123287,73.08219178082192,Matches applied regularized fit; not independently identified; validate with current survival,0.03608648057230009,5.943477882775119
demo_oceania_age_neg8000_neg4000,12335,oceania,-8000,-4000,0.000489198929,0.00044,1.111815747727272727272727273,True,Fitted conditional-under80 cohort,1940.958904109589,1951.9178082191781,73.08219178082192,84.04109589041096,Matches applied regularized fit; not independently identified; validate with current survival; overlaps 80+ in calibration window,0.03552900929624519,5.851661830143541
demo_oceania_age_neg4000_0,12336,oceania,-4000,0,0.00022,0.00022,1,False,"Restored 1930-1941 birth cohort, held fixed",1930.0,1940.958904109589,84.04109589041096,95.0,Not observed in legacy fitting baseline; requires separate older-age and survival validation,0.015977921417677392,2.6315789473684212
demo_oceania_age_0_4000,12337,oceania,0,4000,0.00044,0.00044,1,False,"Initially living cohort, held fixed",1919.041095890411,1930.0,95.0,105.95890410958904,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.031955842835354784,5.2631578947368425
demo_oceania_age_4000_8000,12338,oceania,4000,8000,0.00044,0.00044,1,False,"Initially living cohort, held fixed",1908.0821917808219,1919.041095890411,105.95890410958904,116.91780821917808,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.031955842835354784,5.2631578947368425
demo_oceania_age_8000_12000,12339,oceania,8000,12000,0.00044,0.00044,1,False,"Initially living cohort, held fixed",1897.123287671233,1908.0821917808219,116.91780821917808,127.87671232876713,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.031955842835354784,5.2631578947368425
demo_oceania_age_12000_16000,12340,oceania,12000,16000,0.00022,0.00022,1,False,"Initially living cohort, held fixed",1886.164383561644,1897.123287671233,127.87671232876713,138.83561643835617,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.015977921417677392,2.6315789473684212
demo_oceania_age_16000_20000,12341,oceania,16000,20000,0.00022,0.00022,1,False,"Initially living cohort, held fixed",1875.2054794520548,1886.164383561644,138.83561643835617,149.7945205479452,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.015977921417677392,2.6315789473684212
demo_oceania_age_20000_24000,12342,oceania,20000,24000,0.00022,0.00022,1,False,"Initially living cohort, held fixed",1864.2465753424658,1875.2054794520548,149.7945205479452,160.75342465753425,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.015977921417677392,2.6315789473684212
demo_oceania_age_24000_28000,12343,oceania,24000,28000,0.00022,0.00022,1,False,"Initially living cohort, held fixed",1853.2876712328766,1864.2465753424658,160.75342465753425,171.7123287671233,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.015977921417677392,2.6315789473684212
demo_oceania_age_28000_32000,12344,oceania,28000,32000,0.00022,0.00022,1,False,"Initially living cohort, held fixed",1842.3287671232877,1853.2876712328766,171.7123287671233,182.67123287671234,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.015977921417677392,2.6315789473684212
